brand,mfr,calories,protein,fat,sodium,fiber,carbs,sugar,price
Kashi Go ,Kashi,200,11,2,140,12,43,8,6.09
Cascadian Farm Honey Oat Crunch,Cascadian Farm,250,5,3,240,3,54,11,5.19
Chocolate Chip Cookie Crisp,General Mills,140,2,2,190,2,31,12,4.71
Fruity Cap'n Crunch,Quaker,200,7,2,310,1,41,25,6.41
Corn Pops,Kelloggs,150,2,0,160,0,36,15,5.97
Vanilla Honey Bunches of Oats,Post,160,3,2,190,2,34,9,4.35
Publix Rice Crispies,Publix,150,3,0,210,0,34,4,4.97
Cascadian Farm Organic Cinnamon Crunch,Cascadian Farm,140,2,3,140,3,29,11,5.19
Publix Cornflakes,Publix,150,3,0,230,1,35,4,4.97
Frosted Krispies,Kelloggs,150,2,0,125,0,35,15,5.97
Cocoa Krispies,Kelloggs,150,2,1,170,1,35,15,5.97
Publix Toasted Oats,Publix,160,4,3,230,3,31,2,4.05
Vanilla Almond Special K,Kelloggs,150,3,2,220,3,33,11,5.97
Cinnamon Pecan Special K,Kelloggs,160,10,3,270,3,33,10,5.97
Chocolate Krave,Kelloggs,170,3,5,140,2,32,15,5.97
Chocolate Chex,General Mills,180,2,4,270,2,36,11,5.41
Strawberries Honey Bunches of Oats,Post,160,3,2,170,2,34,11,4.35
Honey Almond KASHI,Kashi,200,9,5,140,8,35,12,6.09
Cinnamon Chex,General Mills,160,2,4,230,2,33,8,4.71
Honey Nut Chex,General Mills,170,2,1,270,2,38,12,4.71
Marshmellow Fruit Loops,Kelloggs,150,2,1,170,2,35,17,5.97
Churros Cinnamon Toast Crunch,General Mills,180,3,5,230,3,32,11,4.71
Fruit Trix,General Mills,160,2,2,180,1,33,12,5.41
Apple Cinnamon Cheerios,General Mills,110,2,2,180,2,11,10,7.09
Apple Jacks,Kelloggs,110,2,0,125,1,11,14,5.97
Basic 4,General Mills,130,3,2,210,2,18,8,6.51
Berries Cap'n Crunch,Quaker,150,2,2,270,1,32,16,6.41
Cap'n'Crunch,Quaker,150,1,2,220,0,12,12,6.41
Fruit and Almond Basic 4,General Mills,200,4,2,270,5,44,12,6.51
Cinnamon Toast Crunch,General Mills,170,2,3,230,0,33,12,4.71
Chocolate Coco Pebbles,Post,140,2,1,220,1,31,12,4.35
Cocoa Puffs,General Mills,140,1,1,130,0,12,12,5.41
Corn Flakes,Kelloggs,150,2,0,300,1,36,4,5.97
Count Chocula,General Mills,110,1,1,180,0,12,13,4.71
Publix Honey Nut O's,Publix,140,3,2,190,2,30,12,4.97
Crispy Wheat & Raisins,General Mills,100,2,1,140,2,11,10,6
Frosted Flakes,Kelloggs,130,1,0,200,1,12,11,5.97
Frosted Mini-Wheats,Kelloggs,210,3,0,10,3,51,12,5.97
Fruity Pebbles,Post,110,1,1,135,0,13,12,6.31
Golden Crisp,Post,100,2,0,45,0,11,15,4.35
Golden Grahams,General Mills,150,1,1,300,0,34,12,6.63
Honey Graham Ohs,Quaker,120,1,2,220,1,12,12,6.41
Honey Nut Cheerios,General Mills,140,3,1,210,2,12,10,7.97
Honey-comb,Post,110,1,0,180,0,14,11,4.35
Kix,General Mills,110,2,1,260,0,21,3,4.71
Cinnamon Life,Quaker,160,4,1,170,1,33,10,6.41
Lucky Charms,General Mills,160,2,1,170,0,12,12,4.71
Multi-Grain Cheerios,General Mills,100,2,1,220,2,15,6,7.09
Oatmeal Raisin Crisp,General Mills,130,3,2,170,2,14,10,6.51
Quaker Oatmeal,Quaker,100,5,2,0,3,-1,-1,6.41
Raisin Bran,Kelloggs,190,3,1,200,5,47,17,5.97
Raisin Nut Bran,General Mills,100,3,2,140,3,11,8,6.09
Reese's Puff,General Mills,160,1,1,220,2,30,12,5.41
Rice Chex,General Mills,160,1,0,330,0,35,3,5.41
Rice Krispies,Kelloggs,110,2,0,290,0,22,3,5.97
Smacks,Kelloggs,110,2,1,70,1,9,15,5.97
"Special K Cereal, Vanilla & Almond",Kelloggs,150,3,1,220,1,33,11,5.97
Chocolate Special K,Kelloggs,160,3,2,260,1,34,12,5.97
Fruit Yogurt Special K,Kelloggs,160,3,0,190,3,36,13,5.97
Special K,Kelloggs,110,6,0,230,1,16,3,5.97
Total Corn Flakes,General Mills,110,2,1,200,0,21,3,5.97
Total Raisin Bran,General Mills,140,3,1,190,4,15,14,5.97
Total Whole Grain,General Mills,100,3,1,200,3,16,3,5.97
Triples,General Mills,110,2,1,250,0,21,3,5.97
Trix,General Mills,110,1,1,140,0,13,12,5.97
Wheaties,General Mills,130,3,1,240,3,17,5,6.51
Wheaties Honey Gold,General Mills,110,2,1,200,1,16,8,5.97
Red Berries Special K,Kelloggs,140,3,0,250,3,11,11,5.97
